City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,Avarua,CK,77.05,drizzle,-21.2078,-159.775,Paradise Inn
176,Wanning,CN,70.18,overcast clouds,18.8003,110.3967,Paradise Hotel
177,Makakilo City,US,75.52,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
179,Bungu,TZ,72.39,light rain,-7.6337,39.0582,JaJa Lodge
180,Pyapon,MM,78.3,few clouds,16.2833,95.6833,Aung Naing Thu Motel
185,Trairi,BR,77.85,overcast clouds,-3.2778,-39.2689,janelas do mar
189,Ambajogai,IN,73.99,clear sky,18.7333,76.3833,Hotel Krushnai
191,Pitimbu,BR,79.39,clear sky,-7.4706,-34.8086,Reserva do Abiaí
192,Bluff,NZ,72.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
195,Cockburn Town,TC,74.88,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
199,Cooma,AU,77.81,few clouds,-36.2333,149.1333,High Country Motel
206,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
207,Touba,CI,69.51,few clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
210,Bambanglipuro,ID,73.6,overcast clouds,-7.95,110.2833,Puri Brata
211,Port Elizabeth,ZA,68.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
215,Sinnamary,GF,75.99,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
217,Lucea,JM,72.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
231,Carutapera,BR,74.73,overcast clouds,-1.195,-46.02,Lidera
234,Hermosillo,MX,67.01,clear sky,29.0667,-110.9667,ibis Hermosillo
236,Myanaung,MM,74.98,few clouds,18.2833,95.3167,Taung Hlay Khar
237,Ixtapa,MX,70.23,clear sky,20.7,-105.2,hotel la terminal
238,Camana,PE,70.12,broken clouds,-16.6228,-72.7111,Hostal Morales
245,Sitio Novo Do Tocantins,BR,76.93,scattered clouds,-5.5183,-47.4611,Imperial Hotel
249,Vao,NC,79.66,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
257,Lazaro Cardenas,MX,74.8,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
260,Nelson,NZ,74.44,broken clouds,-41.2833,173.2833,Trailways Hotel
262,Kahului,US,78.06,clear sky,20.8947,-156.47,Maui Seaside Hotel
263,Saldanha,ZA,66.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
265,Loikaw,MM,74.52,few clouds,19.6742,97.2094,Myat Nan Taw Hotel
273,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
275,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
277,Sola,VU,79.05,overcast clouds,-13.8833,167.55,Leumerus Bungalows
282,Huarmey,PE,70.02,overcast clouds,-10.0681,-78.1522,Hotel Miramar
284,Lingao,CN,65.71,light rain,19.9103,109.6859,Lingao Ditai Inn
288,Wellington,NZ,68.92,few clouds,-41.2866,174.7756,CityLife Wellington
291,Qui Nhon,VN,77.22,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
292,Lethem,GY,78.96,scattered clouds,3.3803,-59.7968,Savannah Inn
296,Pochutla,MX,77.85,clear sky,15.7432,-96.4661,Hotel Posada San Jose
300,Codrington,AU,75.92,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
302,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
305,Treinta Y Tres,UY,67.05,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
307,Porto Murtinho,BR,77.95,few clouds,-21.6989,-57.8825,Hotel Pantanal
315,Santa Maria,BR,68.47,few clouds,-29.6842,-53.8069,Hotel Morotin
316,Diamantino,BR,71.6,light rain,-14.4086,-56.4461,Hotel Delta
322,Maues,BR,72.18,overcast clouds,-3.3836,-57.7186,Hotel Miramar
323,Springbok,ZA,73.94,broken clouds,-29.6643,17.8865,Undulata Country Lodge
