City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Coihaique,CA,2022-01-19 22:22:20,66.1451,-65.7125,-16.6,76,75,2.3
154,Coihaique,NO,2022-01-19 22:22:20,71.0357,27.8492,30.11,64,93,25.97
155,Coihaique,MY,2022-01-19 22:22:20,5.4112,100.3354,79.9,81,20,2.3
156,Coihaique,US,2022-01-19 22:18:34,39.0993,-76.8483,53.53,46,0,1.01
157,Coihaique,RU,2022-01-19 22:22:21,68.75,161.3,-42.68,99,35,3.58
158,Coihaique,MU,2022-01-19 22:22:21,-20.0064,57.6608,80.38,87,100,1.01
159,Coihaique,RU,2022-01-19 22:21:15,65.8167,87.9833,12.11,95,100,13.47
160,Coihaique,CN,2022-01-19 22:22:21,29.9576,122.298,47.35,72,93,12.66
161,Coihaique,MU,2022-01-19 22:22:22,-20.5167,57.5167,80.37,89,40,6.91
162,Coihaique,GL,2022-01-19 22:22:22,72.7868,-56.1549,18.73,71,100,8.37
163,Coihaique,BR,2022-01-19 22:22:06,-5.1989,-35.4608,81.5,72,43,13.62
164,Coihaique,SD,2022-01-19 22:22:23,16.1525,36.2032,64.89,15,2,15.43
165,Coihaique,RU,2022-01-19 22:22:23,59.8518,48.2783,3.65,96,98,9.04
166,Coihaique,BR,2022-01-19 22:22:23,-2.8731,-67.8022,79.21,94,100,1.74
167,Coihaique,PW,2022-01-19 22:22:24,7.0419,134.2556,79.3,74,75,14.83
168,Coihaique,TD,2022-01-19 22:22:24,12.1844,18.693,64.42,22,0,8.23
169,Coihaique,US,2022-01-19 22:21:20,42.6389,-83.2911,28.98,71,100,19.57
170,Coihaique,NZ,2022-01-19 22:18:47,-43.5333,172.6333,59.2,67,75,8.99
171,Coihaique,CV,2022-01-19 22:22:25,14.9215,-23.5087,72.14,78,20,11.5
172,Coihaique,EC,2022-01-19 22:22:25,-0.7393,-90.3518,80.56,79,100,8.5
173,Coihaique,CN,2022-01-19 22:22:26,28.6833,115.8833,47.82,78,59,5.97
174,Coihaique,HK,2022-01-19 22:17:51,22.2855,114.1577,59.38,82,36,1.99
175,Coihaique,BR,2022-01-19 22:22:26,-8.8978,-35.1478,79.43,74,0,7.61
176,Coihaique,MX,2022-01-19 22:22:27,19.2167,-98.8083,69.03,39,46,3.69
177,Coihaique,RU,2022-01-19 22:22:27,71.9167,114.0833,-13.27,94,80,10.04
178,Coihaique,AR,2022-01-19 22:22:11,-31.6333,-60.7,88.02,62,30,1.99
179,Coihaique,PH,2022-01-19 22:22:27,12.3134,122.0853,76.51,85,88,7.11
180,Coihaique,US,2022-01-19 22:19:26,42.587,-82.9199,30.31,67,100,1.99
181,Coihaique,AU,2022-01-19 22:22:28,-37.8333,140.7667,65.55,57,0,8.79
182,Coihaique,ID,2022-01-19 22:22:28,5.8933,95.3214,79.83,76,93,9.42
183,Coihaique,AW,2022-01-19 22:23:29,12.524,-70.027,80.55,74,40,21.85
184,Coihaique,NZ,2022-01-19 22:23:29,-45.4167,167.7167,48.27,81,98,1.74
185,Coihaique,CL,2022-01-19 22:23:29,-41.8697,-73.8203,69.33,68,42,9.42
186,Coihaique,PF,2022-01-19 22:23:30,-16.7,-151.0167,80.55,78,100,22.26
187,Coihaique,AU,2022-01-19 22:23:30,-20.7833,117.1333,83.01,51,6,6.51
188,Coihaique,PF,2022-01-19 22:23:31,-9.8,-139.0333,78.76,74,7,18.3
189,Coihaique,AU,2022-01-19 22:23:31,-32.95,151.6667,73.81,71,72,14.0
190,Coihaique,US,2022-01-19 22:23:31,28.7091,-100.4995,83.25,21,20,16.11
191,Coihaique,MX,2022-01-19 22:22:10,27.9769,-114.0611,64.72,69,80,15.26
192,Coihaique,RU,2022-01-19 22:23:32,57.0436,34.9622,30.67,94,100,11.65
193,Coihaique,RE,2022-01-19 22:23:33,-21.3585,55.7679,76.59,83,67,0.98
194,Coihaique,PH,2022-01-19 22:23:33,17.0818,122.4157,73.76,86,100,7.9
195,Coihaique,CA,2022-01-19 22:23:33,68.2191,-135.0107,-11.2,77,75,6.91
196,Coihaique,ZA,2022-01-19 22:23:34,-34.5322,20.0403,65.28,88,43,3.44
197,Coihaique,BR,2022-01-19 22:23:34,-32.035,-52.0986,84.94,83,47,12.28
198,Coihaique,PE,2022-01-19 22:23:35,-6.8367,-79.9342,77.29,65,0,26.46
199,Coihaique,ML,2022-01-19 22:23:35,18.9048,-3.5265,64.08,13,2,9.82
200,Coihaique,RU,2022-01-19 22:23:35,48.1,136.1,-12.06,99,94,2.95
201,Coihaique,CN,2022-01-19 22:22:21,25.2819,110.2864,44.71,86,98,2.95
202,Coihaique,PE,2022-01-19 22:21:05,-12.0432,-77.0282,78.39,78,0,3.0
203,Coihaique,TO,2022-01-19 22:23:36,-19.8,-174.35,82.42,81,13,18.54
204,Coihaique,AO,2022-01-19 22:23:36,-10.7073,22.2247,62.29,96,95,1.97
205,Coihaique,AU,2022-01-19 22:23:37,-31.95,141.4333,69.51,68,40,14.97
206,Coihaique,PH,2022-01-19 22:23:37,12.1791,125.5072,77.5,87,90,10.96
207,Coihaique,TR,2022-01-19 22:23:37,36.9761,38.425,28.6,70,89,8.72
208,Coihaique,PF,2022-01-19 22:23:38,-16.5167,-151.75,80.67,76,100,23.24
209,Coihaique,JP,2022-01-19 22:23:38,35.1333,140.3,35.71,79,88,3.85
210,Coihaique,RU,2022-01-19 22:23:38,53.1873,158.3805,28.54,54,75,11.18
211,Coihaique,FO,2022-01-19 22:23:39,62.1564,-7.1664,29.32,64,75,14.97
212,Coihaique,LK,2022-01-19 22:23:39,8.5711,81.2335,78.1,67,51,9.51
213,Coihaique,TC,2022-01-19 22:23:39,21.4612,-71.1419,78.76,73,75,13.8
214,Coihaique,TD,2022-01-19 22:23:40,13.4667,22.2,58.64,24,0,18.34
215,Coihaique,RU,2022-01-19 22:23:40,56.1481,113.4267,-6.23,81,97,1.66
216,Coihaique,IT,2022-01-19 22:23:40,38.1711,13.2393,53.2,75,20,10.36
217,Coihaique,BW,2022-01-19 22:23:41,-22.3833,26.7167,75.45,42,80,13.51
218,Coihaique,PT,2022-01-19 22:23:41,32.6667,-17.1,65.71,75,99,18.75
219,Coihaique,NZ,2022-01-19 22:23:41,-35.1667,173.1667,70.95,66,100,8.97
220,Coihaique,ID,2022-01-19 22:23:42,-8.1181,111.8935,74.12,91,100,3.38
221,Coihaique,RU,2022-01-19 22:23:42,66.0317,60.1659,15.08,78,71,21.81
222,Coihaique,RU,2022-01-19 22:23:42,63.0128,112.4714,-4.36,97,100,5.86
223,Coihaique,EC,2022-01-19 22:23:42,-0.95,-80.7333,82.18,74,75,8.05
224,Coihaique,PE,2022-01-19 22:23:43,-12.1167,-73.0,77.2,84,100,0.98
225,Coihaique,RU,2022-01-19 22:23:43,55.9575,92.5519,-7.78,99,65,3.78
226,Coihaique,RU,2022-01-19 22:23:43,61.67,96.37,10.74,96,100,4.29
227,Coihaique,NG,2022-01-19 22:23:44,5.5167,5.75,77.38,41,77,5.21
228,Coihaique,PA,2022-01-19 22:24:44,9.55,-79.65,82.85,81,39,15.82
229,Coihaique,AR,2022-01-19 22:24:45,-38.8759,-62.0736,69.46,87,100,13.06
230,Coihaique,AU,2022-01-19 22:24:45,-28.8667,153.5667,71.78,96,75,8.05
231,Coihaique,AR,2022-01-19 22:24:45,-29.15,-59.65,95.58,39,44,12.82
232,Coihaique,CI,2022-01-19 22:24:46,8.2833,-7.6833,73.76,16,2,2.57
233,Coihaique,RU,2022-01-19 22:23:58,50.6789,156.125,28.89,86,100,8.77
234,Coihaique,US,2022-01-19 22:20:25,29.7633,-95.3633,78.94,71,75,7.0
235,Coihaique,TH,2022-01-19 22:24:46,15.2085,101.7714,74.07,75,48,4.94
236,Coihaique,IT,2022-01-19 22:24:47,46.1706,12.7078,37.74,90,100,0.98
237,Coihaique,CN,2022-01-19 22:24:47,47.8667,88.1167,18.43,80,100,3.4
238,Coihaique,MX,2022-01-19 22:24:47,25.5333,-103.25,77.11,21,40,0.0
239,Coihaique,ES,2022-01-19 22:24:47,28.6585,-17.9182,64.15,51,0,1.01
240,Coihaique,GL,2022-01-19 22:24:48,68.7098,-52.8699,31.44,89,100,3.44
241,Coihaique,CL,2022-01-19 22:24:48,-35.3333,-72.4167,62.01,60,0,17.58
242,Coihaique,AR,2022-01-19 22:23:12,-41.1456,-71.3082,62.35,51,40,6.91
243,Coihaique,CN,2022-01-19 22:24:48,39.0286,121.695,12.24,52,0,8.95
244,Coihaique,US,2022-01-19 22:24:49,38.421,-121.4238,67.01,59,0,1.01
245,Coihaique,CN,2022-01-19 22:24:49,33.4333,115.0333,31.37,77,23,11.16
246,Coihaique,MG,2022-01-19 22:24:49,-13.2,49.05,74.97,93,100,5.35
247,Coihaique,NP,2022-01-19 22:20:27,28.2333,83.9833,52.3,62,99,4.09
248,Coihaique,CL,2022-01-19 22:24:50,-37.6167,-73.65,60.08,66,0,10.42
249,Coihaique,CD,2022-01-19 22:24:50,2.7858,24.73,71.49,84,74,2.08
250,Coihaique,CV,2022-01-19 22:24:51,14.9215,-23.5087,72.14,78,20,11.5
251,Coihaique,NA,2022-01-19 22:24:51,-22.9575,14.5053,69.1,94,99,10.36
252,Coihaique,GL,2022-01-19 22:24:51,64.1835,-51.7216,35.89,95,99,41.29
253,Coihaique,AR,2022-01-19 22:24:52,-38.5473,-58.7368,70.03,72,77,18.81
254,Coihaique,GB,2022-01-19 22:24:52,55.4627,-4.6339,42.1,74,8,14.34
255,Coihaique,LT,2022-01-19 22:24:52,54.4,23.2333,33.46,88,100,18.39
256,Coihaique,ML,2022-01-19 22:24:53,16.6362,1.637,60.58,19,0,11.56
257,Coihaique,MZ,2022-01-19 22:24:53,-23.865,35.3833,74.26,74,18,10.71
258,Coihaique,RU,2022-01-19 22:24:53,53.7377,78.0403,-4.16,100,77,5.28
259,Coihaique,UY,2022-01-19 22:24:54,-34.4833,-54.3333,71.76,91,98,10.33
260,Coihaique,US,2022-01-19 22:24:54,39.447,-86.1758,36.46,70,100,14.23
261,Coihaique,BR,2022-01-19 22:24:54,-30.1811,-50.2056,78.35,88,11,16.28
262,Coihaique,MX,2022-01-19 22:24:55,15.85,-97.0667,83.23,65,0,6.91
263,Coihaique,LR,2022-01-19 22:24:55,6.3005,-10.7969,76.77,79,69,8.63
264,Coihaique,CA,2022-01-19 22:24:56,47.3821,-61.8597,15.85,92,100,12.66
265,Coihaique,PT,2022-01-19 22:24:56,39.05,-27.9833,61.39,86,54,31.16
266,Coihaique,EC,2022-01-19 22:24:57,-0.9,-89.6,74.39,83,95,8.25
267,Coihaique,BR,2022-01-19 22:23:40,-23.8486,-50.1878,73.45,76,2,1.3
268,Coihaique,BR,2022-01-19 22:24:57,-6.9811,-34.8339,79.47,70,0,11.59
269,Coihaique,GF,2022-01-19 22:24:57,4.9333,-52.3333,79.09,85,100,4.61
270,Coihaique,CA,2022-01-19 22:24:58,63.7506,-68.5145,-18.67,76,75,0.0
271,Coihaique,CA,2022-01-19 22:24:58,65.282,-126.8329,-23.76,76,75,5.75
272,Coihaique,US,2022-01-19 22:19:58,39.7555,-105.2211,38.97,100,100,3.44
273,Coihaique,AU,2022-01-19 22:24:58,-20.3167,118.5667,78.85,73,4,6.91
274,Coihaique,RU,2022-01-19 22:23:14,53.0452,158.6483,27.19,54,75,11.18
275,Coihaique,SL,2022-01-19 22:24:59,9.0167,-10.6,72.93,17,19,5.26
276,Coihaique,IR,2022-01-19 22:25:59,35.5729,53.3971,28.24,43,0,4.61
277,Coihaique,MA,2022-01-19 22:26:00,29.5833,-9.5,55.04,39,90,5.41
278,Coihaique,AU,2022-01-19 22:26:00,-14.4667,132.2667,79.12,89,96,5.75
279,Coihaique,GW,2022-01-19 22:26:00,11.2833,-15.8333,79.2,78,14,16.51
280,Coihaique,RU,2022-01-19 22:26:01,66.8333,70.8333,-7.71,98,69,8.88
281,Coihaique,GF,2022-01-19 22:26:01,3.1655,-52.3158,73.08,98,73,4.29
282,Coihaique,ZA,2022-01-19 22:26:01,-33.0117,17.9442,59.05,78,6,10.8
283,Coihaique,AO,2022-01-19 22:23:32,-8.8368,13.2343,74.7,80,76,11.21
284,Coihaique,CN,2022-01-19 22:26:02,42.8,93.45,25.95,42,99,3.2
285,Coihaique,AF,2022-01-19 22:26:02,37.04,66.7889,35.69,67,3,11.34
286,Coihaique,NO,2022-01-19 22:26:02,69.6496,18.957,33.82,60,75,8.99
287,Coihaique,ZA,2022-01-19 22:26:03,-28.783,32.0377,72.75,89,97,4.09
288,Coihaique,TR,2022-01-19 22:26:03,38.1361,39.4493,27.09,92,100,6.04
289,Coihaique,LY,2022-01-19 22:26:03,32.5341,20.5791,53.78,68,95,7.81
290,Coihaique,CN,2022-01-19 22:26:04,36.9758,120.7136,19.71,61,2,5.1
291,Coihaique,KI,2022-01-19 22:26:04,1.3292,172.9752,84.2,74,40,13.8
292,Coihaique,NA,2022-01-19 22:26:05,-17.9333,19.7667,65.98,94,93,4.29
293,Coihaique,AR,2022-01-19 22:26:05,-39.0333,-67.5833,70.2,78,100,15.03
294,Coihaique,CA,2022-01-19 22:26:05,47.6666,-52.7314,26.76,72,75,33.38
295,Coihaique,CA,2022-01-19 22:26:06,70.4692,-68.5914,7.03,92,100,43.73
296,Coihaique,CN,2022-01-19 22:26:06,26.1903,107.5125,44.22,90,100,1.45
