City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
170,Ode,7.7899,5.7117,64.72,17,92,5.17,NG,overcast clouds
171,Dolny Kubin,49.2098,19.3034,31.46,97,100,2.84,SK,overcast clouds
172,Turka,49.1541,23.0297,30.79,91,100,14.97,UA,light snow
173,Hofn,64.2539,-15.2082,24.48,45,99,12.68,IS,overcast clouds
174,Novoagansk,61.9449,76.6625,8.51,95,100,7.72,RU,overcast clouds
175,Kitimat,54.0524,-128.6534,35.98,98,100,2.95,CA,light rain
176,Wanning,18.8003,110.3967,70.18,86,100,10.47,CN,overcast clouds
177,Makakilo City,21.3469,-158.0858,75.52,65,20,6.91,US,few clouds
178,Panjakent,39.4952,67.6093,24.6,45,90,3.91,TJ,overcast clouds
179,Bungu,-7.6337,39.0582,72.39,96,72,2.75,TZ,light rain
180,Pyapon,16.2833,95.6833,78.3,40,15,10.78,MM,few clouds
181,Billings,45.7833,-108.5007,43.5,33,40,19.57,US,scattered clouds
182,Beloha,-25.1667,45.05,74.68,70,12,13.47,MG,few clouds
183,Constitucion,-35.3333,-72.4167,57.27,76,0,12.35,CL,clear sky
184,Kodinsk,58.6881,99.1844,-0.53,96,100,1.25,RU,overcast clouds
185,Trairi,-3.2778,-39.2689,77.85,84,94,8.46,BR,overcast clouds
186,La Palma,33.8464,-118.0467,61.5,83,0,5.75,US,clear sky
187,Zaozerne,45.1582,33.2787,41.74,74,47,18.14,UA,scattered clouds
188,Limulan,6.5853,124.0619,84.96,66,92,4.21,PH,overcast clouds
189,Ambajogai,18.7333,76.3833,73.99,17,0,4.36,IN,clear sky
190,Birao,10.2849,22.7882,59.7,21,9,5.93,CF,clear sky
191,Pitimbu,-7.4706,-34.8086,79.39,77,8,10.27,BR,clear sky
192,Bluff,-46.6,168.3333,72.81,83,95,2.13,NZ,overcast clouds
193,San Quintin,30.4833,-115.95,58.24,73,0,12.75,MX,clear sky
194,Ponoka,52.6768,-113.5815,29.48,86,100,4.65,CA,overcast clouds
195,Cockburn Town,21.4612,-71.1419,74.88,77,98,19.33,TC,overcast clouds
196,Raymond Terrace,-32.75,151.75,87.3,69,20,11.5,AU,few clouds
197,Bang Phae,13.6916,99.9298,91.98,46,9,4.68,TH,clear sky
198,Vardo,70.3705,31.1107,21.4,66,69,18.14,NO,broken clouds
199,Cooma,-36.2333,149.1333,77.81,59,15,6.26,AU,few clouds
200,Jatibonico,21.9419,-79.17,55.72,72,0,5.82,CU,clear sky
201,General Roca,-39.0333,-67.5833,64.8,15,6,8.19,AR,clear sky
202,Chokurdakh,70.6333,147.9167,-28.64,99,44,1.57,RU,scattered clouds
203,Lebu,-37.6167,-73.65,56.48,74,0,20.15,CL,clear sky
204,Mareeba,-17.0,145.4333,87.48,64,99,7.07,AU,overcast clouds
205,Karratha,-20.7377,116.8463,97.99,39,64,15.7,AU,broken clouds
206,Vila Do Maio,15.1333,-23.2167,70.59,76,100,17.56,CV,overcast clouds
207,Touba,8.2833,-7.6833,69.51,21,18,1.95,CI,few clouds
208,Kununurra,-15.7667,128.7333,87.78,70,93,13.8,AU,overcast clouds
209,Norman Wells,65.282,-126.8329,-21.96,69,75,2.3,CA,light snow
210,Bambanglipuro,-7.95,110.2833,73.6,68,94,8.57,ID,overcast clouds
211,Port Elizabeth,-33.918,25.5701,68.09,92,100,6.24,ZA,overcast clouds
212,Fortuna,40.5982,-124.1573,49.66,91,100,0.0,US,overcast clouds
213,Portland,45.5234,-122.6762,47.35,90,100,5.99,US,overcast clouds
214,Meulaboh,4.1363,96.1285,85.35,65,68,1.63,ID,broken clouds
215,Sinnamary,5.3833,-52.95,75.99,87,78,11.07,GF,broken clouds
216,Abha,18.2164,42.5053,51.62,87,0,6.91,SA,clear sky
217,Lucea,18.451,-78.1736,72.86,77,88,14.52,JM,overcast clouds
218,Souillac,-20.5167,57.5167,82.36,89,75,12.66,MU,light rain
219,Kokopo,-4.352,152.2633,84.67,69,99,11.27,PG,light rain
220,Freeport,40.6576,-73.5832,24.78,64,20,1.01,US,few clouds
221,Micco,27.8806,-80.5003,50.0,71,0,5.57,US,clear sky
222,Gandajika,-6.75,23.95,65.34,95,100,3.15,CD,light rain
223,Vestmannaeyjar,63.4427,-20.2734,32.85,64,100,30.76,IS,overcast clouds
224,Nouadhibou,20.931,-17.0347,63.82,77,100,18.48,MR,overcast clouds
225,Dir,35.2058,71.8756,42.67,44,44,5.64,PK,scattered clouds
226,Marrakesh,31.6315,-8.0083,62.67,48,75,4.61,MA,broken clouds
227,Castro,-24.7911,-50.0119,62.58,99,100,6.53,BR,overcast clouds
228,Aksu,41.1231,80.2644,29.08,40,7,0.67,CN,clear sky
229,Katobu,-4.9408,122.5276,88.47,55,95,5.37,ID,overcast clouds
230,Ust-Barguzin,53.45,108.9833,-3.24,90,98,3.87,RU,overcast clouds
231,Carutapera,-1.195,-46.02,74.73,93,99,4.81,BR,overcast clouds
232,Raudeberg,61.9875,5.1352,32.86,69,100,1.99,NO,overcast clouds
233,Krasnyy Chikoy,50.3643,108.7512,0.75,91,100,2.04,RU,overcast clouds
